INSURER_Name,EstablishDate,ManagerName1,ManagerName2,Tel,Fax,FreeLine,Address,WebAddress,Email
新光產物保險股份有限公司,1963-05-01,吳昕紘,何英蘭,(02)2507-5335,(02)2504-6312,0800-005588,台北市建國北路2段15號,www.skinsurance.com.tw,shnkonga@skinsurance.com.tw
國泰世紀產物保險股份有限公司,1993-07-19,蔡鎮球,陳萬祥,(02)2755-1299,(02)2754-7476,0800-212880,台北市仁愛路四段２９６號,http://www.cathay-ins.com.tw,30A0100@cathay-ins.com.tw
新安東京海上產物保險股份有限公司,1999-01-20,陳忠鏗,簡仲明,8772-7777,8772-0016,0800-050-119,台北市南京東路三段130號8-13樓,www.tmnewa.com.tw,service@tmnewa.com.tw
台壽保產物保險股份有限公司,2006-05-08,林欽淼,侯自維,02-23700789,02-23700630,0800-075-777,台北市中正區許昌街17號18樓之1,www.tlg-insurance.com,service@tlg-insurance.com
有限責任台灣區漁船產物保險合作社,1968-11-08,,吳秋屏,02-25603948,02-25223833,02-25603948,台北市中山區民生東路一段25號4樓之7,www.tfmic.com.tw,tfmic.taiwan@msa.hinet.net
臺銀人壽保險股份有限公司,2008-01-02,劉玉枝,周園藝,02-27849151,02-27050013,0800-011966,10682台北市大安區敦化南路2段69號6樓,http://www.twfhclife.com.tw,life111@twfhclife.com.tw
台灣人壽保險股份有限公司,1947-12-01,黃思國,莊中慶,(02)8170-9888,02-2785-8300,0800-213-269,台北市南港區經貿二路188號8樓,www.taiwanlife.com,service@taiwanlife.com
保誠人壽保險股份有限公司,1962-05-17,劉添,王慰慈,02-8786-9955,02-8789-8500,0809-0809-68,台北市松智路1號8樓,www.pcalife.com.tw,customer.service@pcalife.com.tw
國泰人壽保險股份有限公司,1962-10-23,黃調貴,,(02)27551399,(02)27041485,0800-036-599,106台北市仁愛路四段296號,www.cathaylife.com.tw,service@cathaylife.com.tw
中國人壽保險股份有限公司,1963-04-25,王銘陽,黃淑芬,(02)27196678,(02)27125966,0800-098-889,臺北市敦化北路122號5樓,http://www.chinalife.com.tw,services@chinalife.com.tw
南山人壽保險股份有限公司,1963-07-01,杜英宗,許妙靜,02-87588888,02-87867087,0800020060,台北市莊敬路168號,www.nanshanlife.com.tw,NS-Service@nanshan.com.tw
國華人壽保險股份有限公司,1963-07-20,林公平,張永固,02-21765166,02-55519767,0800099111,台北市松仁路277號,www.khltw.com,khlife@khltw.com
新光人壽保險股份有限公司,1963-07-27,吳東進,蔡雄繼,02-23895858,02-27425581,0800-031115,台北市中正區忠孝西路一段66號31-43樓,http://www.skl.com.tw,skl080@skl.com.tw
富邦人壽保險股份有限公司,2006-03-01,蔡明興,陳俊伴,02-87716699,02-88098889,0809-000550,臺北市松山區敦化南路1段108號14樓,www.fubon.com,HO900.life@fubon.com
三商美邦人壽保險股份有限公司,1993-06-12,陳翔玠,張鎮坤,(02)2345-5511,(02)2345-6616,0800-022-258,台北市民權東路三段6號3樓,http://www.mli.com.tw,mmli@mail.mli.com.tw
朝陽人壽保險股份有限公司,1993-07-27,栗志中,張永固,04-36119889,04-22208545,0800056567,台中市西區五權路2-3號12樓,www.cylife.com.tw,m100@cylife.com.tw
幸福人壽保險股份有限公司,1993-07-23,鄧文聰,郭明枝,0223817172,?02-2381-7162,0800885000,台北市忠孝西路一段6號8樓,http://www.singforlife.com.tw/,singforlife@mail.singforlife.com.tw
遠雄人壽保險事業股份有限公司,1993-11-19,孟嘉仁,趙學欣,02-27583099,02-27253083,0800-083-083,台北市松高路1號28樓,www.fglife.com.tw,fglife@fglife.com.tw
宏泰人壽保險股份有限公司,1994-10-20,魯奐毅,湯維華,02-27166888,02-27166887,0800-068268,台北市民生東路三段156號4樓,www.hontai.com.tw,service@hontai.com.tw
安聯人壽保險股份有限公司,1994-10-17,艾努莎,林順才,02-87895858,02-87895008,0800-007668,台北市信義區信義路5段100號5樓,www.allianz.com.tw,service@allianz.com.tw
中華郵政股份有限公司,2003-01-01,吳宏謀,,(02)23931261,(02)23211481,0800700365,台北市愛國東路216號3樓,https://www.post.gov.tw,serviceu@mail.post.gov.tw
第一金人壽保險股份有限公司,2007-12-11,陳芬蘭,林元輝,(02)8758 1000,(02)8786 7656,0800-001-110,台北市信義區信義路四段456號13樓,http://www.firstlife.com.tw/,customer_service@firstlife.com.tw
合作金庫人壽保險股份有限公司,2010-01-28,杜振遠,沈玫君, (02) 2772-6772  , (02) 2772-8772  ,0800-033-133,台北市忠孝東路四段325號10樓 ,my.tcb-life.com.tw,tw_service@tcb-life.com.tw
保德信國際人壽保險股份有限公司,2000-11-03,葛納森,麥尚恩,02-27678866,02-27679366,0800-015-001,臺北市松山區南京東路五段161號,www.prulife.com.tw,potservice@prudential.com
全球人壽保險股份有限公司,2001-09-12,彭騰德,馬君碩,02-6639-9999,02-6639-6666,0800-000-662,台北市信義區市民大道6段288號16樓,www.transglobe.com.tw,webmaster@transglobe.com.tw
元大人壽保險股份有限公司,2002-03-21,江朝國,林則棻,2751-7578,2751-7579,0800-088-008  ,台北市松山區民生東路三段156號17樓 ,http://www.yuantalife.com.tw,life@yuanta.com
中國信託人壽保險股份有限公司,2003-08-01,凌寶,林欽淼,02-8170-9888,02-27858300,0800213269,台北市南港區經貿二路188號8樓,www.ctbclife.com,service@ctbclife.com
國際康健人壽保險股份有限公司,2011-12-31,朱立明,Tim Shields,02-66231688,02-66302016,0800-011709,台北市中正區中華路一段39號6樓,www.cigna.com.tw,cigna_service@cigna.com
英屬百慕達商友邦人壽保險股份有限公司台灣分公司,1990-09-07,,侯文成,02-2735-2838,02-2735-9238,0800-012-666,臺北市敦化南路二段333號17樓,http://aia.com.tw/,tw.customer@aia.com
英屬百慕達商宏利人壽保險國際股份有限公司台灣分公司,1992-05-31,,岑美慈,(02)2757-5888,(02)2757-2888,0800008838,台北市信義區松仁路89號2樓,www.manulife.com.tw,manulife_eservice@manulife.com.tw
法商法國巴黎人壽保險股份有限公司台灣分公司,1997-11-10,,,02-66363456,02-66363457,0800-012-899,臺北市信義區信義路5段7號80樓,https://life.cardif.com.tw/,group_assurance_tw_parislife@tw.cardif.com
澳大利亞商安盛國衛人壽保險股份有限公司台灣分公司,,,,,,,,,
英屬百慕達商安達人壽保險股份有限公司台灣分公司,2005-10-19,,,02-81611988,02-27583678,0800-061988,台北市信義區信義路五段8號12樓,www.chubblife.com.tw,Customer.Service.Twlife@chubb.com
英屬百慕達商?豐人壽保險國際有限公司台灣分公司,2007-03-20,,伍德力,(02)66339399,(02)22545618,0800-66-1311,新北市板橋區文化路二 段285號15樓,www.hsbcinsurance.com.tw,hsbclife@hsbc.com.tw
英屬曼島商蘇黎世國際人壽保險股份有限公司台灣分公司,2008-08-06,,陳穎勳,(02) 2181 5400,(02) 2181 5402,0800 888 385,10457台北市中山區松江路126號6樓之3,life.zurich.com.tw,helppoint.tw@zurich.com
美商安達產物保險股份有限公司台灣分公司,1982-01-22,,曾增成,02-8758-1800,02-2355-1888,0800-608-989,110台北市信義區信義路5段8號10樓,https://www.chubb.com/tw,ina.taiwan@chubb.com
香港商亞洲保險有限公司台灣分公司,1996-07-04,,宋安樂,02-2382-0380,02-2382-5285,0800-088330,台北市中正區重慶南路1段83號6樓,www.asiainsurance.com.tw,service@asiainsurance.com.tw
法商法國巴黎產物保險股份有限公司台灣分公司,2000-06-28,,,02-66383456,02-66383457,0800-266-288,台北市信義區信義路5段7號78樓之一,https:/ onlife.cardif.com.tw/,group_assurance_tw_parisnonlife@tw.cardif.com
法商安盛產物保險股份有限公司台灣分公司,,,,,,,,,
國寶人壽保險股份有限公司,1993-06-09,,陳來勝,(02)2388-3399,(02)2388-7676,0800-087999,臺北市中正區忠孝西路一段50號9樓,www.globallife.com.tw,services@globallife.com.tw
法商科法斯產物保險股份有限公司台灣分公司,2008-07-24,,張育立,02-25775797,02-25775795,0800-775797,台北市松山區南京東路四段16號6樓A5室,www.coface.com.tw,taipei@coface.com
美商聯邦產物保險股份有限公司台北分公司,1987-02-06,,,02-87808809,02-27054354,-,台北市信義區松仁路97號10樓之1,www.chubb.com/international/taiwan/cindex.html,iliang@chubb.com
新加坡商美國國際產物保險股份有限公司台灣分公司,2016-04-08,,,02-7747-1988,02-7707-0577,0809-090-570,10548 台北市松山區敦化北路260號4樓,http://www.aig.com.tw,aigtaiwan@aig.com
比利時商裕利安宜產物保險股份有限公司台灣分公司,2018-05-02,,郭駿家,02-2322-9000,02-2707-2559 ,0800-771-168,106台北市大安區敦化南路二段39號八樓A室,http://www.eulerhermes.tw,enquiry-tw@eulerhermes.com
